                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0764,                 1.4707,                 1.0709,                 1.0307,                0.26868,                0.13333,                0.12004,                0.05587,                0.26868,                0.13333,                 0.1198,                0.06046,                 1.6307,                 2.5148,                 3.2727,                 1.6556,             0.00093572,             0.00093572,             0.00093572
                     25,                 1.1109,                 1.2956,                 1.1186,                  1.058,                0.24228,                    0.2,                0.10412,                0.06098,                0.26225,                    0.2,                0.09283,                0.04821,                 1.5352,                 2.9438,                 3.2935,                 1.5029,             0.00097534,             0.00097534,             0.00097534
                     26,                0.96372,                 1.3054,                0.96007,                0.99068,                 0.7006,                0.23333,                0.36581,                0.20943,                0.72916,                0.23333,                0.33294,                0.18809,                 1.4523,                 2.6455,                 2.7964,                 1.3404,               0.001015,               0.001015,               0.001015
                     27,                 1.0424,                  1.145,                 1.0277,                 1.0436,                0.68076,                0.61667,                0.67544,                0.37435,                0.64873,                0.56667,                0.62944,                0.33277,                 1.3953,                 2.7079,                 2.3727,                 1.2493,              0.0010545,              0.0010545,              0.0010545
                     28,                0.99223,                 1.1459,                0.98705,                  1.006,                0.80165,                    0.7,                0.76309,                0.39267,                0.77963,                0.68333,                0.72254,                0.39243,                 1.4142,                 2.7258,                  2.323,                 1.2368,              0.0010941,              0.0010941,              0.0010941
                     29,                   1.11,                 1.1086,                 1.0392,                 1.0538,                0.85367,                0.77789,                0.84532,                0.51075,                0.83623,                0.76592,                0.83427,                0.48801,                 1.2858,                 2.3661,                 2.1681,                 1.1398,              0.0011337,              0.0011337,              0.0011337
                     30,                 1.0646,                 1.1263,                 1.0552,                 1.0662,                0.82385,                0.70159,                0.84076,                0.43262,                0.80179,                0.67426,                0.81066,                0.43725,                 1.3987,                 2.5417,                 2.1944,                 1.1841,              0.0011732,              0.0011732,              0.0011732
                     31,                  1.037,                 1.4163,                 1.0155,                  1.052,                0.59112,                0.65057,                0.66455,                0.25175,                0.66254,                0.71667,                0.79712,                0.44203,                 1.6286,                 2.3623,                 2.5017,                 1.5265,              0.0012128,              0.0012128,              0.0012128
                     32,                 1.0611,                 1.2154,                0.99556,                 1.0591,                0.42114,                0.52145,                0.41413,                0.17998,                0.58033,                   0.65,                0.65633,                0.35073,                 1.4913,                 2.3927,                 2.6003,                 1.5529,              0.0012523,              0.0012523,              0.0012523
                     33,                 1.0584,                  1.352,                 1.0331,                 1.0759,                0.28294,                   0.55,                0.32631,                0.18639,                0.27691,                   0.55,                0.31082,                0.17375,                 1.2954,                 2.7508,                 2.5501,                 1.2401,              0.0012918,              0.0012918,              0.0012918
                     34,                 1.0011,                 1.1668,                 0.9443,                0.99888,                0.12273,                0.44302,                0.13375,                0.08424,                0.12336,                   0.45,                0.12798,                0.07481,                 1.2872,                 2.7778,                 2.7795,                 1.2569,              0.0013312,              0.0013312,              0.0013312
                     35,                 1.0496,                 1.0945,                0.92824,                 1.0505,                0.09347,                0.26667,                0.09931,                0.05887,                0.08763,                   0.25,                0.08749,                0.05051,                 1.3018,                 2.9373,                 2.8802,                 1.2578,              0.0013707,              0.0013707,              0.0013707
                     36,                 1.0494,                  1.004,                0.98241,                 1.0686,                0.09732,                0.28333,                0.11704,                0.07331,                0.09883,                0.28333,                0.11262,                0.06523,                 1.2499,                 2.6141,                 2.8403,                 1.2355,              0.0014102,              0.0014102,              0.0014102
                     37,                  1.004,                 1.1515,                0.98199,                 1.0535,                0.20394,                0.34163,                0.18308,                0.12743,                0.20394,                0.34163,                0.18245,                0.11538,                 1.1372,                 1.8885,                 2.6188,                  1.197,              0.0014496,              0.0014496,              0.0014496
                     38,                 1.1252,                 1.1103,                 1.0638,                 1.0912,                0.46272,                    0.5,                0.45034,                0.31973,                0.46272,                    0.5,                0.45034,                0.31295,                  1.044,                 1.6871,                 2.1957,                 1.1528,               0.001489,               0.001489,               0.001489
                     39,                0.99793,                 1.1588,                0.90364,                 1.0371,                0.82155,                0.58333,                0.72923,                0.48817,                0.82155,                0.58333,                0.72923,                0.50048,                 1.1022,                 1.6306,                 2.0402,                 1.2268,              0.0015284,              0.0015284,              0.0015284
                     40,                0.95569,                 1.0725,                0.85664,                 1.0053,                0.83659,                0.59734,                0.77093,                0.50867,                0.83659,                0.59734,                0.77099,                0.53141,                 1.0801,                  1.518,                 2.0398,                 1.2264,              0.0015678,              0.0015678,              0.0015678
                     41,                0.95111,                 1.0295,                0.93108,                 1.0093,                0.70457,                0.51672,                0.69397,                0.45533,                0.70457,                0.51672,                0.70414,                0.44246,                 1.2752,                 1.7133,                 2.1858,                  1.425,              0.0016072,              0.0016072,              0.0016072
                     42,                 1.0922,                 1.2141,                0.91556,                 1.0484,                0.88506,                   0.55,                0.69767,                0.48676,                0.88506,                   0.55,                0.72256,                 0.4205,                 1.2139,                 2.1577,                 2.2861,                 1.3516,              0.0016465,              0.0016465,              0.0016465
